indicator,chart,chart_slug,chart_id,variable_id,variable_name,dataset_id,dataset_name
16.8.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415853,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - International Monetary Fund",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415859,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - Inter-American Development Bank",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415850,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - International Finance Corporation",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.8.1,https://ourworldindata.org/grapher/proportion-of-voting-rights-in-international-organizations,proportion-of-voting-rights-in-international-organizations,2069,415852,"10.6.1 - Proportion of members of developing countries in international organizations, by organization (%) - SG_INT_MBRDEV - International Bank for Reconstruction and Development",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.7.2,https://ourworldindata.org/grapher/facilitate-orderly-safe-migration,facilitate-orderly-safe-migration,5205,415879,"10.7.2 - Countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (1 = Requires further progress; 2 = Partially meets; 3 = Meets; 4 = Fully meets) - SG_CPA_MIGRS - All Domains",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.7.3,https://ourworldindata.org/grapher/deaths-and-disappearances-during-migration,deaths-and-disappearances-during-migration,5367,415887,10.7.3 - Total deaths and disappearances recorded during migration (number) - SM_DTH_MIGR,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.7.4,https://ourworldindata.org/grapher/number-of-refugees-per-100000,number-of-refugees-per-100000,5368,415886,"10.7.4 - Number of refugees per 100,000 population, by country of origin (per 100,000 population) - SM_POP_REFG_OR",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.A.1,https://ourworldindata.org/grapher/proportion-tariff-lines-applied-to-imports-from-ldcs,proportion-tariff-lines-applied-to-imports-from-ldcs,2116,415889,10.a.1 - Proportion of tariff lines applied to imports with zero-tariff (%) - TM_TRF_ZERO - Total or no breakdown,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.B.1,https://ourworldindata.org/grapher/total-assistance-for-development-by-recipient,total-assistance-for-development-by-recipient,2071,415896,"10.b.1 - Total assistance for development, by recipient countries (millions of current United States dollars) - DC_TRF_TOTL",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.B.1,https://ourworldindata.org/grapher/total-assistance-for-development-by-donor,total-assistance-for-development-by-donor,2072,415895,"10.b.1 - Total assistance for development, by donor countries (millions of current United States dollars) - DC_TRF_TOTDL",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
10.C.1,https://ourworldindata.org/grapher/remittance-costs-as-share-of-amount-remitted,remittance-costs-as-share-of-amount-remitted,2073,416109,10.c.1 - Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%) - SI_RMT_COST_SND,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
9.1.1,https://ourworldindata.org/grapher/share-of-rural-population-near-a-road,share-of-rural-population-near-a-road,5204,414787,9.1.1 - Proportion of the rural population who live within 2 km of an all-season road - SP_ROD_R2KM,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
9.1.2,https://ourworldindata.org/grapher/number-of-air-transport-passengers-carried,number-of-air-transport-passengers-carried,1111,147889,"Air transport, passengers carried",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
9.1.2,https://ourworldindata.org/grapher/railways-passengers-carried-passenger-km,railways-passengers-carried-passenger-km,2012,147935,"Railways, passengers carried (million passenger-km)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
9.1.2,https://ourworldindata.org/grapher/air-transport-freight-ton-km,air-transport-freight-ton-km,2013,147888,"Air transport, freight (million ton-km)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
9.2.1,https://ourworldindata.org/grapher/manufacturing-value-added-to-gdp,manufacturing-value-added-to-gdp,1791,147838,"Manufacturing, value added (% of GDP)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
9.2.2,https://ourworldindata.org/grapher/industry-share-of-total-emplyoment,industry-share-of-total-emplyoment,1797,65440,"Industry as % of total employment -- ILO modelled estimates, May 2017",1857,dataset_1857_employment
9.2.2,https://ourworldindata.org/grapher/manufacturing-share-of-total-employment,manufacturing-share-of-total-employment,5244,414791,9.2.2 - Manufacturing employment as a proportion of total employment (%) - SL_TLF_MANF,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
9.3.1,https://ourworldindata.org/grapher/small-scale-industries-share,small-scale-industries-share,3849,414794,9.3.1 - Proportion of small-scale industries in total industry value added (%) - NV_IND_SSIS - Manufacturing,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
9.3.2,https://ourworldindata.org/grapher/smalsmall-scale-industries-loan,smalsmall-scale-industries-loan,3850,414796,9.3.2 - Proportion of small-scale industries with a loan or line of credit (%) - FC_ACC_SSID,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
9.5.1,https://ourworldindata.org/grapher/research-and-development-expenditure-of-gdp,research-and-development-expenditure-of-gdp,1618,147938,Research and development expenditure (% of GDP),5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
9.5.2,https://ourworldindata.org/grapher/researchers-in-rd-per-million-people,researchers-in-rd-per-million-people,1617,147940,Researchers in R&D (per million people),5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
9.A.1,https://ourworldindata.org/grapher/total-oda-for-infrastructure-by-recipient,total-oda-for-infrastructure-by-recipient,2057,414803,"9.a.1 - Total official flows for infrastructure, by recipient countries (millions of constant 2019 United States dollars) - DC_TOF_INFRAL",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
9.B.1,https://ourworldindata.org/grapher/total-manufacturing-value-added-from-high-tech,total-manufacturing-value-added-from-high-tech,2058,414804,9.b.1 - Proportion of medium and high-tech manufacturing value added in total value added (%) - NV_IND_TECH,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
9.C.1,https://ourworldindata.org/grapher/mobile-cellular-subscriptions-per-100-people,mobile-cellular-subscriptions-per-100-people,1263,147910,Mobile cellular subscriptions (per 100 people),5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
1.2.1,https://ourworldindata.org/grapher/share-of-population-living-in-poverty-by-national-poverty-lines,share-of-population-living-in-poverty-by-national-poverty-lines,1595,3523,Poverty headcount ratio at national poverty lines (% of population),564,dataset_564_world_development_indicators__poverty
1.2.2,https://ourworldindata.org/grapher/share-multi-poverty,share-multi-poverty,413,1482,Multidimensional Poverty (headcount ratio) (Alkire and Robles (2016)),334,dataset_334_ophi_multidimensional_poverty_index__alkire_and_robles__2016
1.3.1,https://ourworldindata.org/grapher/coverage-of-social-insurance-programs,coverage-of-social-insurance-programs,1907,446453,Coverage of social insurance programs (% of population),5637,dataset_5637_world_development_indicators__world_bank__2022_05_26
1.4.1,https://ourworldindata.org/grapher/access-to-basic-resources,access-to-basic-resources,754,2031,Access to clean fuels and technologies for cooking  (% of population),554,dataset_554_world_development_indicators__environment
1.4.1,https://ourworldindata.org/grapher/access-to-basic-resources,access-to-basic-resources,754,3379,Improved water source (% of population with access),563,dataset_563_world_development_indicators__health
1.4.1,https://ourworldindata.org/grapher/access-to-basic-resources,access-to-basic-resources,754,3376,Improved sanitation facilities (% of population with access),563,dataset_563_world_development_indicators__health
1.4.1,https://ourworldindata.org/grapher/access-to-basic-resources,access-to-basic-resources,754,2032,Access to electricity (% of population),554,dataset_554_world_development_indicators__environment
1.4.2,https://ourworldindata.org/grapher/legally-recognized-rights-to-land,legally-recognized-rights-to-land,5190,416340,"1.4.2 - Proportion of people with legally recognized documentation of their rights to land out of total adult population, by sex (%) - SP_LGL_LNDDOC - Both sexes",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
1.5.3,https://ourworldindata.org/grapher/legislative-provisions-for-managing-disaster-risk,legislative-provisions-for-managing-disaster-risk,2735,416356,1.5.3 - Score of adoption and implementation of national DRR strategies in line with the Sendai Framework - SG_DSR_LGRGSR,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
1.5.4,https://ourworldindata.org/grapher/local-gov-disaster-strategies,local-gov-disaster-strategies,3831,416357,1.5.4 - Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%) - SG_DSR_SILS,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
1.a.1,https://ourworldindata.org/grapher/donated-official-development-assistance-grants-for-poverty-reduction,donated-official-development-assistance-grants-for-poverty-reduction,5304,416369,"1.a.1 - Official development assistance grants for poverty reduction, by donor countries (percentage of GNI) - DC_ODA_POVDLG",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
1.a.1,https://ourworldindata.org/grapher/received-official-development-assistance-grants-for-poverty-reduction,received-official-development-assistance-grants-for-poverty-reduction,5305,416368,"1.a.1 - Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) - DC_ODA_POVLG",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
1.a.2,https://ourworldindata.org/grapher/health-expenditure-government-expenditure,health-expenditure-government-expenditure,1915,428666,Indicator:Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),5629,dataset_5629_global_health_observatory__world_health_organization__2022_05
1.a.2,https://ourworldindata.org/grapher/share-of-education-in-government-expenditure,share-of-education-in-government-expenditure,271,147898,"Government expenditure on education, total (% of government expenditure)",5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
14.1.1,https://ourworldindata.org/grapher/beach-litter,beach-litter,5221,414864,14.1.1 - Beach litter per square kilometer (Number) - EN_MAR_BEALITSQ,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
14.1.1,https://ourworldindata.org/grapher/chlorophyll-a-deviation-from-the-global-average,chlorophyll-a-deviation-from-the-global-average,5226,414860,"14.1.1 - Chlorophyll-a deviations, remote sensing (%) - EN_MAR_CHLDEV",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
14.2.1,https://ourworldindata.org/grapher/countries-using-ecosystem-based-approaches-to-manage-marine-areas,countries-using-ecosystem-based-approaches-to-manage-marine-areas,5655,414871,14.2.1 - Number of countries using ecosystem-based approaches to managing marine areas (1 = YES; 0 = NO) - EN_SCP_ECSYBA - Implementation and adaptive management,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
14.5.1,https://ourworldindata.org/grapher/marine-protected-areas,marine-protected-areas,1623,147842,Marine protected areas (% of territorial waters),5357,dataset_5357_world_development_indicators__world_bank__2021_07_30
14.6.1,https://ourworldindata.org/grapher/regulation-illegal-fishing,regulation-illegal-fishing,3857,415185,"14.6.1 - Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing (level of implementation: 1 lowest to 5 highest) - ER_REG_UNFCIM",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
14.7.1,https://ourworldindata.org/grapher/sustainable-fisheries-as-a-proportion-of-gdp,sustainable-fisheries-as-a-proportion-of-gdp,5227,415186,14.7.1 - Sustainable fisheries as a proportion of GDP - EN_SCP_FSHGDP,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
14.A.1,https://ourworldindata.org/grapher/ocean-research-funding,ocean-research-funding,3858,415187,14.a.1 - National ocean science expenditure as a share of total research and development funding (%) - ER_RDE_OSEX,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
14.B.1,https://ourworldindata.org/grapher/protection-of-the-rights-of-small-scale-fisheries,protection-of-the-rights-of-small-scale-fisheries,5295,415188,14.b.1 - Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest) - ER_REG_SSFRAR,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
14.C.1,https://ourworldindata.org/grapher/ratification-and-accession-to-unclos,ratification-and-accession-to-unclos,5268,415189,14.c.1 - Score for the ratification of and accession to UNCLOS and its two implementing agreements (%) - ER_UNCLOS_RATACC,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
14.C.1,https://ourworldindata.org/grapher/implementation-of-unclos,implementation-of-unclos,5269,415190,14.c.1 - Score for the implementation of UNCLOS and its two implementing agreements (%) - ER_UNCLOS_IMPLE,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.1.1,https://ourworldindata.org/grapher/intentional-homicides-per-100000-people,intentional-homicides-per-100000-people,1625,447139,"Intentional homicides (per 100,000 people)",5637,dataset_5637_world_development_indicators__world_bank__2022_05_26
16.1.2,https://ourworldindata.org/grapher/deaths-conflict-terrorism-per-100000,deaths-conflict-terrorism-per-100000,1626,418969,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Rate),5599,dataset_5599_ihme__global_burden_of_disease__deaths_and_dalys__institute_for_health_metrics_and_evaluation__2022_04
16.1.2,https://ourworldindata.org/grapher/total-conflict-related-civilian-deaths,total-conflict-related-civilian-deaths,5270,417004,"16.1.2 - Number of conflict-related deaths (civilians), by sex, age and cause of death (Number) - VC_DTH_TOCVN - All age ranges or no breaks by age - Both sexes - Planted explosives and unexploded ordnance (UXO)",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.1.2,https://ourworldindata.org/grapher/total-conflict-related-civilian-deaths,total-conflict-related-civilian-deaths,5270,417006,"16.1.2 - Number of conflict-related deaths (civilians), by sex, age and cause of death (Number) - VC_DTH_TOCVN - All age ranges or no breaks by age - Both sexes - Small arms and light weapons ",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.1.2,https://ourworldindata.org/grapher/total-conflict-related-civilian-deaths,total-conflict-related-civilian-deaths,5270,417005,"16.1.2 - Number of conflict-related deaths (civilians), by sex, age and cause of death (Number) - VC_DTH_TOCVN - All age ranges or no breaks by age - Both sexes - Heavy weapons and explosive munitions ",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.1.2,https://ourworldindata.org/grapher/total-conflict-related-civilian-deaths,total-conflict-related-civilian-deaths,5270,417007,"16.1.2 - Number of conflict-related deaths (civilians), by sex, age and cause of death (Number) - VC_DTH_TOCVN - All age ranges or no breaks by age - Both sexes - Incendiary; Chemical, biological, radiological, nuclear (CBRN); Electromagnetic weapons; Less lethal weapons; Denial of access to/ destruction of objects indispensable to survival; Accidents related to conflict; Use of objects and other means; Multiple Weapons Used.",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.1.3,https://ourworldindata.org/grapher/population-subjected-to-physical-violence,population-subjected-to-physical-violence,5276,416990,"16.1.3 - Proportion of population subjected to physical violence in the previous 12 months, by sex (%) - VC_VOV_PHYL - Male",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.1.3,https://ourworldindata.org/grapher/population-subjected-to-physical-violence,population-subjected-to-physical-violence,5276,416989,"16.1.3 - Proportion of population subjected to physical violence in the previous 12 months, by sex (%) - VC_VOV_PHYL - Female",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.1.3,https://ourworldindata.org/grapher/population-subjected-to-physical-violence,population-subjected-to-physical-violence,5276,72,Population (historical estimates),70,dataset_70_population__gapminder__hyde__and__un
16.1.3,https://ourworldindata.org/grapher/population-subjected-to-physical-violence,population-subjected-to-physical-violence,5276,123,Countries Continents,115,dataset_115_countries_continents
16.1.3,https://ourworldindata.org/grapher/population-subjected-to-sexual-violence-male-vs-female,population-subjected-to-sexual-violence-male-vs-female,5277,416997,"16.1.3 - Proportion of population subjected to sexual violence in the previous 12 months, by sex (%) - VC_VOV_SEXL - Male",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.1.3,https://ourworldindata.org/grapher/population-subjected-to-sexual-violence-male-vs-female,population-subjected-to-sexual-violence-male-vs-female,5277,416996,"16.1.3 - Proportion of population subjected to sexual violence in the previous 12 months, by sex (%) - VC_VOV_SEXL - Female",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.1.3,https://ourworldindata.org/grapher/population-subjected-to-sexual-violence-male-vs-female,population-subjected-to-sexual-violence-male-vs-female,5277,72,Population (historical estimates),70,dataset_70_population__gapminder__hyde__and__un
16.1.3,https://ourworldindata.org/grapher/population-subjected-to-sexual-violence-male-vs-female,population-subjected-to-sexual-violence-male-vs-female,5277,123,Countries Continents,115,dataset_115_countries_continents
16.1.4,https://ourworldindata.org/grapher/safety-walking-alone,safety-walking-alone,3860,416998,16.1.4 - Proportion of population that feel safe walking alone around the area they live (%) - VC_SNS_WALN - Both sexes,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.2.2,https://ourworldindata.org/grapher/victims-of-human-trafficking-under-18-male-vs-female,victims-of-human-trafficking-under-18-male-vs-female,2102,417044,"16.2.2 - Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number) - VC_HTF_DETVFL - under 18 years old - Male",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.2.2,https://ourworldindata.org/grapher/victims-of-human-trafficking-under-18-male-vs-female,victims-of-human-trafficking-under-18-male-vs-female,2102,417043,"16.2.2 - Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number) - VC_HTF_DETVFL - under 18 years old - Female",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.2.2,https://ourworldindata.org/grapher/victims-of-human-trafficking-under-18-male-vs-female,victims-of-human-trafficking-under-18-male-vs-female,2102,72,Population (historical estimates),70,dataset_70_population__gapminder__hyde__and__un
16.2.2,https://ourworldindata.org/grapher/victims-of-human-trafficking-under-18-male-vs-female,victims-of-human-trafficking-under-18-male-vs-female,2102,123,Countries Continents,115,dataset_115_countries_continents
16.2.2,https://ourworldindata.org/grapher/human-trafficking-over-18-by-sex,human-trafficking-over-18-by-sex,2103,417046,"16.2.2 - Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number) - VC_HTF_DETVFL - 18 years old and over - Male",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.2.2,https://ourworldindata.org/grapher/human-trafficking-over-18-by-sex,human-trafficking-over-18-by-sex,2103,417045,"16.2.2 - Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number) - VC_HTF_DETVFL - 18 years old and over - Female",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.2.2,https://ourworldindata.org/grapher/human-trafficking-over-18-by-sex,human-trafficking-over-18-by-sex,2103,72,Population (historical estimates),70,dataset_70_population__gapminder__hyde__and__un
16.2.2,https://ourworldindata.org/grapher/human-trafficking-over-18-by-sex,human-trafficking-over-18-by-sex,2103,123,Countries Continents,115,dataset_115_countries_continents
16.2.3,https://ourworldindata.org/grapher/women-who-experienced-sexual-violence-by-age-18,women-who-experienced-sexual-violence-by-age-18,2774,417033,"16.2.3 - Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29) - VC_VAW_SXVLN - 18 to 29 years old - Female",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.2.3,https://ourworldindata.org/grapher/men-experienced-sexual-violence-by-age-18,men-experienced-sexual-violence-by-age-18,2773,417034,"16.2.3 - Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29) - VC_VAW_SXVLN - 18 to 29 years old - Male",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.2.3,https://ourworldindata.org/grapher/percentage-of-women-18-to-29-who-report-having-been-victims-of-forced-sex-as-children,percentage-of-women-18-to-29-who-report-having-been-victims-of-forced-sex-as-children,1650,65417,Prevalence of forced sex among girls,943,dataset_943_sexual_violence__unicef__2017
16.2.3,https://ourworldindata.org/grapher/percentage-of-men-18-to-29-who-report-having-been-victims-of-forced-sex-as-children,percentage-of-men-18-to-29-who-report-having-been-victims-of-forced-sex-as-children,1651,65416,Prevalence of forced sex among boys,943,dataset_943_sexual_violence__unicef__2017
16.3.1,https://ourworldindata.org/grapher/reported-crime-to-the-police,reported-crime-to-the-police,3861,417076,"16.3.1 - Police reporting rate for robbery, by sex (%) - VC_PRR_ROBB - Both sexes",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.3.1,https://ourworldindata.org/grapher/reported-crime-to-the-police,reported-crime-to-the-police,3861,417071,"16.3.1 - Police reporting rate for sexual assault, by sex (%) - VC_PRR_SEXV - Both sexes",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.3.1,https://ourworldindata.org/grapher/reported-crime-to-the-police,reported-crime-to-the-police,3861,417068,"16.3.1 - Police reporting rate for physical assault, by sex (%) - VC_PRR_PHYV - Both sexes",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.3.2,https://ourworldindata.org/grapher/unsentenced-detainees-as-proportion-of-prison-population,unsentenced-detainees-as-proportion-of-prison-population,2104,417067,16.3.2 - Unsentenced detainees as a proportion of overall prison population (%) - VC_PRS_UNSNT,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.4.2,https://ourworldindata.org/grapher/share-of-small-with-illicit-origin,share-of-small-with-illicit-origin,5230,417077,"16.4.2 - Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments - VC_ARM_SZTRACE",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.5.1,https://ourworldindata.org/grapher/bribery-prevalence-un,bribery-prevalence-un,3862,417079,"16.5.1 - Prevalence rate of bribery, by sex (%) - IU_COR_BRIB - Both sexes",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.5.2,https://ourworldindata.org/grapher/bribery-incidence-of-firms-experiencing-at-least-one-bribe-payment-request,bribery-incidence-of-firms-experiencing-at-least-one-bribe-payment-request,2018,446109,Bribery incidence (% of firms experiencing at least one bribe payment request),5637,dataset_5637_world_development_indicators__world_bank__2022_05_26
16.6.1,https://ourworldindata.org/grapher/govt-expenditure-share-budget,govt-expenditure-share-budget,3863,417082,16.6.1 - Primary government expenditures as a proportion of original approved budget (%) - GF_XPD_GBPC,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.7.1,https://ourworldindata.org/grapher/representation-of-women-in-the-lower-chamber-of-parliament,representation-of-women-in-the-lower-chamber-of-parliament,5302,417100,"16.7.1 - Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral - SG_DMK_PARLMP_LC",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.7.1,https://ourworldindata.org/grapher/representation-of-women-in-the-upper-chamber-of-parliament,representation-of-women-in-the-upper-chamber-of-parliament,5303,417159,"16.7.1 - Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber - SG_DMK_PARLMP_UC",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.10.1,https://ourworldindata.org/grapher/cases-of-killings-of-journalists-and-media-personnel,cases-of-killings-of-journalists-and-media-personnel,2106,417026,"16.10.1 - Number of cases of killings of human rights defenders, journalists and trade unionists - VC_VAW_MTUHRA - Male",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.10.1,https://ourworldindata.org/grapher/cases-of-killings-of-journalists-and-media-personnel,cases-of-killings-of-journalists-and-media-personnel,2106,417027,"16.10.1 - Number of cases of killings of human rights defenders, journalists and trade unionists - VC_VAW_MTUHRA - Both sexes",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.10.1,https://ourworldindata.org/grapher/cases-of-killings-of-journalists-and-media-personnel,cases-of-killings-of-journalists-and-media-personnel,2106,417028,"16.10.1 - Number of cases of killings of human rights defenders, journalists and trade unionists - VC_VAW_MTUHRA - Female",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.10.2,https://ourworldindata.org/grapher/countries-that-adopt-guarantees-for-public-access-to-information,countries-that-adopt-guarantees-for-public-access-to-information,2105,417029,"16.10.2 - Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information - SG_INF_ACCSS",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.A.1,https://ourworldindata.org/grapher/countries-that-applied-for-accreditation-in-paris-principles,countries-that-applied-for-accreditation-in-paris-principles,2107,417273,16.a.1 - Proportion of countries that applied for accreditation as independent National Human Rights Institutions in compliance with the Paris Principles (%) - SG_NHR_INTEXST,5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
16.A.1,https://ourworldindata.org/grapher/countries-in-compliance-with-paris-principles,countries-in-compliance-with-paris-principles,2108,417272,"16.a.1 - Countries with National Human Rights Institutions in compliance with the Paris Principles, A status (1 = YES; 0 = NO) - SG_NHR_IMPLN",5575,dataset_5575_united_nations_sustainable_development_goals__united_nations__2022_04
4.1.1,https://ourworldindata.org/grapher/share-of-students-in-early-primary-education-achieving-minimum-reading-proficiency-2010-2015,share-of-students-in-early-primary-education-achieving-minimum-reading-proficiency-2010-2015,1815,66242,Percentage of pupils in early primary education grades (2 or 3) achieving at least a minimum proficiency level in reading (GEM Report (2017/8)),1886,dataset_1886_minimum_reading_and_maths_proficiency__gem_report__2017_8
4.1.1,https://ourworldindata.org/grapher/share-of-students-in-early-primary-education-achieving-minimum-math-proficiency-2010-2015,share-of-students-in-early-primary-education-achieving-minimum-math-proficiency-2010-2015,1816,66243,Percentage of pupils in early primary education grades (2 or 3) achieving at least a minimum proficiency level in mathematics (GEM Report (2017/8)),1886,dataset_1886_minimum_reading_and_maths_proficiency__gem_report__2017_8
4.1.1,https://ourworldindata.org/grapher/share-of-students-at-end-of-primary-education-achieving-minimum-reading-proficiency-2010-2015,share-of-students-at-end-of-primary-education-achieving-minimum-reading-proficiency-2010-2015,1818,66244,Percentage of pupils at end of primary education achieving at least a minimum proficiency level in reading (GEM Report (2017/8)),1886,dataset_1886_minimum_reading_and_maths_proficiency__gem_report__2017_8
4.1.1,https://ourworldindata.org/grapher/share-of-students-at-end-of-primary-education-achieving-minimum-math-proficiency-2010-2015,share-of-students-at-end-of-primary-education-achieving-minimum-math-proficiency-2010-2015,1817,66245,Percentage of pupils at end of primary education achieving at least a minimum proficiency level in mathematics (GEM Report (2017/8)),1886,dataset_1886_minimum_reading_and_maths_proficiency__gem_report__2017_8
4.1.1,https://ourworldindata.org/grapher/share-of-students-at-end-of-lower-secondary-education-achieving-minimum-reading-proficiency-2010-2015,share-of-students-at-end-of-lower-secondary-education-achieving-minimum-reading-proficiency-2010-2015,1814,66240,Percentage of students at end of lower secondary education achieving at least a minimum proficiency level in reading (GEM Report (2017/8)),1886,dataset_1886_minimum_reading_and_maths_proficiency__gem_report__2017_8
4.1.1,https://ourworldindata.org/grapher/share-of-students-at-end-of-lower-secondary-education-achieving-minimum-math-proficiency-2010-2015,share-of-students-at-end-of-lower-secondary-education-achieving-minimum-math-proficiency-2010-2015,1812,66241,Percentage of students at end of lower secondary education achieving at least a minimum proficiency level in mathematics (GEM Report (2017/8)),1886,dataset_1886_minimum_reading_and_maths_proficiency__gem_report__2017_8
